nome,trabalho,renda_mensal,renda_anual,data_nascimento,idade,score_credito,possui_historico_inadimplencia,tempo_emprego_atual,valor_solicitado,prazo_pagamento,possui_outros_emprestimos,valor_outros_emprestimos,credito_aprovado,valor_aprovado
Yan Moraes,Funcionário de Empresa Privada,5555.53,76617.83,25/06/1962,62,785,Não,33.1,24835.178917821126,12,Não,0.0,Sim,24835.18
Srta. Luara Aparecida,Funcionário Público,8334.44,96634.82,25/10/1972,52,525,Não,32.7,15330.538033664134,36,Não,0.0,Sim,12072.8
Srta. Anna Liz Dias,Funcionário Público,8938.14,110322.75,15/03/1985,40,688,Não,7.3,27612.612874701725,24,Sim,75536.15520932198,Não,0.0
Aylla da Costa,Funcionário de Empresa Privada,11424.59,144193.04,30/04/1981,44,336,Sim,14.7,30685.296484762854,60,Não,0.0,Não,0.0
Felipe Costa,Estudante,1190.9,15944.15,20/12/1996,28,590,Não,0.1,2944.1127147489524,36,Não,0.0,Sim,2605.54
Yasmin Borges,Empresário/Autônomo,14834.26,187207.74,26/08/2003,21,562,Não,3.0,91427.62076947336,18,Não,0.0,Sim,77073.48
Luiz Henrique Garcia,Profissional Liberal,4976.29,69303.69,15/12/1995,29,409,Não,11.0,4184.194371217566,6,Não,0.0,Não,0.0
Luiz Fernando Melo,Funcionário de Empresa Privada,3274.69,39652.13,03/07/1968,56,833,Não,7.3,7300.789595187976,36,Sim,11664.114561731754,Não,0.0
Lunna Sales,Aposentado/Pensionista,4403.34,60981.65,08/05/2006,19,274,Sim,1.0,2981.4477249379133,24,Sim,38922.583156472334,Não,0.0
Ryan Vieira,Funcionário Público,4268.58,59102.8,14/12/1997,27,586,Não,1.7,15901.397795435872,18,Não,0.0,Sim,13977.33
Yago Montenegro,Funcionário de Empresa Privada,6446.7,86323.88,02/03/2007,18,523,Não,0.0,21014.825153834805,36,Não,0.0,Sim,16486.13
Sr. Pedro Alves,Empresário/Autônomo,40316.66,563803.75,12/02/1971,54,492,Não,11.6,14070.34851823438,18,Não,0.0,Não,0.0
Dr. Josué Ribeiro,Empresário/Autônomo,13652.44,184137.9,11/02/1979,46,669,Sim,17.9,85367.71864024232,12,Sim,4658.324244474581,Sim,85367.72
Maysa Caldeira,Funcionário Público,8575.15,116903.64,07/06/2000,24,694,Não,0.9,55622.99561323252,36,Sim,4145.015215999321,Sim,53451.05
Bárbara da Conceição,Aposentado/Pensionista,2824.11,33976.35,27/10/1962,62,708,Não,25.7,1362.7569291742113,6,Sim,24760.08367780021,Não,0.0
Dr. Yago Aragão,Desempregado,1478.18,18693.91,03/06/1968,57,724,Não,32.8,1299.8560796325266,12,Não,0.0,Sim,1299.86
Brenda Fonseca,Desempregado,140.06,1715.48,22/09/1992,32,597,Não,14.0,679.3434890544663,18,Não,0.0,Sim,608.35
Maria Júlia Andrade,Empresário/Autônomo,7608.54,98318.45,15/08/1971,53,669,Não,4.7,29394.936951012067,24,Não,0.0,Sim,29394.94
Nicole Mendes,Profissional Liberal,3619.48,49471.57,31/07/2006,18,328,Não,0.0,9814.571906365354,60,Não,0.0,Não,0.0
Isadora Duarte,Funcionário Público,8506.03,100461.59,04/12/2001,23,323,Não,5.0,44853.94071645598,24,Não,0.0,Não,0.0
Mathias Câmara,Funcionário Público,9549.21,114605.68,11/06/1983,41,624,Não,21.4,29145.961063221708,36,Sim,18781.960354019142,Sim,27280.62
Manuella Camargo,Empresário/Autônomo,5810.19,74243.31,07/02/1996,29,422,Não,11.0,12839.203355390224,12,Sim,32018.14496590431,Não,0.0
Ryan Campos,Funcionário Público,12871.17,154259.7,26/11/1955,69,424,Não,3.0,23888.44709973312,24,Não,0.0,Não,0.0
Francisco Oliveira,Funcionário Público,10445.48,136982.18,29/08/1944,80,769,Não,9.2,61871.632915765964,24,Não,0.0,Sim,61871.63
Benício Azevedo,Funcionário de Empresa Privada,4637.92,55185.79,01/09/1968,56,671,Não,0.1,16481.404817159462,18,Sim,13237.252327829237,Não,0.0
Maitê Nascimento,Aposentado/Pensionista,5630.91,67108.53,05/04/1973,52,700,Não,32.1,28637.202063369277,6,Sim,32051.849559397782,Não,0.0
Dr. Henrique Macedo,Empresário/Autônomo,13141.42,176605.5,25/02/1964,61,653,Não,29.8,28803.638925038467,18,Sim,36623.40424902825,Sim,21371.42
Luan Barbosa,Outros,3793.25,52490.72,07/11/1977,47,383,Não,15.5,18192.686083984838,12,Não,0.0,Não,0.0
Levi da Cunha,Profissional Liberal,9214.05,107232.04,10/12/2004,20,751,Não,2.0,22261.156897708872,18,Sim,67688.83856472568,Não,0.0
Gael Novais,Desempregado,367.81,4687.14,22/01/1960,65,772,Não,8.2,1935.4924430748233,6,Não,0.0,Sim,1935.49
Luan Oliveira,Empresário/Autônomo,6657.92,78326.14,13/04/1956,69,717,Não,34.2,11527.383504273557,48,Não,0.0,Sim,11527.38
Davi Lucca Pastor,Outros,3651.51,42893.75,11/07/1988,36,387,Não,18.0,2731.586207714203,48,Não,0.0,Não,0.0
João Guilherme Borges,Desempregado,267.74,3255.57,11/12/1981,43,443,Sim,25.0,1462.3265671741879,12,Sim,1634.3080060628579,Não,0.0
Daniela Oliveira,Estudante,1763.72,21237.29,14/05/1945,80,443,Não,32.6,2283.2661196167965,48,Não,0.0,Não,0.0
Luiz Fernando Pastor,Funcionário de Empresa Privada,2819.12,38484.62,18/02/2002,23,688,Não,5.0,11827.94865259486,12,Sim,16487.507194696303,Não,0.0
Pedro Pires,Aposentado/Pensionista,3174.05,37500.89,18/07/2004,20,408,Não,2.0,13117.784972807642,12,Não,0.0,Não,0.0
Igor Nascimento,Funcionário de Empresa Privada,6312.26,84502.28,02/09/1944,80,663,Não,14.4,36925.6140375083,60,Sim,37418.14675790606,Não,0.0
Benício Souza,Empresário/Autônomo,6899.2,93148.07,01/10/1982,42,794,Não,12.2,27959.70448657074,6,Não,0.0,Sim,27959.7
Lara Silveira,Funcionário de Empresa Privada,3147.04,39352.35,17/11/2003,21,682,Não,0.8,13713.928184441784,6,Sim,11831.347353990142,Não,0.0
Yan Almeida,Funcionário Público,15080.55,190755.18,02/10/1985,39,774,Não,18.9,46983.06768013851,60,Não,0.0,Sim,46983.07
Gabriel Azevedo,Funcionário de Empresa Privada,3897.19,48993.51,22/08/1947,77,610,Não,9.8,3539.800158321521,60,Não,0.0,Sim,3238.92
José Pedro Rios,Funcionário de Empresa Privada,2587.0,35401.18,07/05/1963,62,456,Não,16.0,11632.32399215111,60,Não,0.0,Não,0.0
José Miguel Sousa,Funcionário de Empresa Privada,10122.36,140531.53,31/08/1987,37,466,Não,19.0,32868.25287193749,60,Não,0.0,Não,0.0
Lucas Gabriel Castro,Funcionário Público,8483.74,100547.83,17/10/1956,68,436,Sim,8.8,24154.3769822186,36,Sim,61005.03822336145,Não,0.0
Júlia Nascimento,Empresário/Autônomo,5901.96,68107.33,13/12/1992,32,672,Não,5.7,6754.402737421098,6,Não,0.0,Sim,6754.4
Josué Vasconcelos,Empresário/Autônomo,5603.89,72535.69,05/03/2006,19,504,Sim,1.0,14603.923454846214,24,Sim,21440.426779082667,Não,0.0
Sr. Alexandre Aragão,Empresário/Autônomo,2849.79,39727.09,13/04/2005,20,170,Sim,2.0,8934.615312057067,60,Não,0.0,Não,0.0
Cecília Pires,Funcionário Público,5995.06,76003.23,01/02/1979,46,598,Não,28.0,21659.94804875466,36,Não,0.0,Sim,19428.97
Maria Sampaio,Empresário/Autônomo,31513.24,422630.38,21/01/1969,56,472,Não,26.2,41951.42881537549,48,Não,0.0,Não,0.0
Paulo Câmara,Funcionário de Empresa Privada,7332.05,91186.55,07/01/2007,18,529,Não,0.0,32816.99912860058,18,Sim,41799.34296421157,Não,0.0
Agatha da Mota,Funcionário de Empresa Privada,5016.28,68502.71,25/12/1960,64,594,Não,9.3,10327.29254151226,12,Não,0.0,Sim,9201.62
Júlia Barros,Funcionário de Empresa Privada,3934.56,51316.35,07/01/1984,41,293,Sim,23.0,9947.413950811711,60,Não,0.0,Não,0.0
Srta. Aylla Rios,Aposentado/Pensionista,12450.51,153346.69,30/11/1948,76,568,Sim,11.6,61421.49453572438,18,Sim,93902.29974367909,Não,0.0
Ryan Fonseca,Funcionário de Empresa Privada,3853.28,50419.45,26/01/1999,26,674,Sim,8.0,10959.289108292105,18,Não,0.0,Sim,10959.29
Noah Costela,Aposentado/Pensionista,5244.87,68441.55,12/05/1980,45,312,Sim,1.4,2476.855793202516,60,Não,0.0,Não,0.0
Caio Martins,Profissional Liberal,8169.99,101565.22,01/06/1947,78,561,Sim,3.1,37603.30131434977,36,Não,0.0,Sim,31643.18
Davi Lucas Novais,Empresário/Autônomo,25166.97,298666.14,31/01/1965,60,620,Não,31.5,34718.8412617814,18,Não,0.0,Sim,32288.52
Bella Novaes,Funcionário de Empresa Privada,3311.36,42696.51,24/11/1997,27,742,Não,5.8,20001.015446164547,18,Não,0.0,Sim,20001.02
Pedro Lucas Castro,Outros,1926.18,25968.3,06/09/1961,63,625,Não,25.0,6377.534434545949,12,Não,0.0,Sim,5978.94
Sr. Henrique Rezende,Funcionário Público,4648.78,58090.05,31/03/1995,30,373,Sim,12.0,25321.331918851574,18,Não,0.0,Não,0.0
Heitor Farias,Funcionário de Empresa Privada,3453.95,46352.62,13/01/1972,53,646,Não,2.8,6209.135118959516,24,Não,0.0,Sim,6016.65
Ana Carolina Andrade,Profissional Liberal,21844.51,282144.72,10/04/1971,54,685,Não,30.7,28115.18624160691,36,Não,0.0,Sim,28115.19
Anthony Gabriel Abreu,Funcionário Público,7866.72,96880.88,16/01/1966,59,641,Não,0.9,36393.62835099254,12,Não,0.0,Sim,34992.47
Dr. João Vitor Costa,Funcionário de Empresa Privada,9866.41,136690.75,20/04/1967,58,836,Não,9.5,55341.90428911145,36,Não,0.0,Sim,55341.9
Evelyn Macedo,Funcionário de Empresa Privada,13697.14,163221.49,19/01/1977,48,544,Sim,30.0,74958.04078864632,18,Não,0.0,Sim,61165.76
Enzo Porto,Estudante,2322.56,29091.75,07/06/1962,62,416,Sim,20.3,5215.27675576573,36,Não,0.0,Não,0.0
Vicente Cassiano,Funcionário de Empresa Privada,9589.99,112402.0,29/09/1988,36,506,Não,18.0,17042.736005149956,24,Não,0.0,Sim,12935.44
Brayan Almeida,Aposentado/Pensionista,3043.83,40058.17,02/01/1990,35,519,Não,17.0,7843.35475874658,12,Sim,8692.915413501974,Sim,4529.75
Dra. Fernanda Nunes,Funcionário Público,16087.68,192718.98,04/05/1966,59,378,Sim,2.6,79602.02702438015,18,Sim,108939.92991831526,Não,0.0
Luísa Caldeira,Aposentado/Pensionista,5589.52,74210.7,11/01/1997,28,471,Não,9.3,30188.008869844114,18,Não,0.0,Não,0.0
Luigi Novais,Funcionário Público,15596.45,197506.71,01/11/1976,48,478,Não,25.6,62333.52420004478,24,Não,0.0,Não,0.0
André Melo,Empresário/Autônomo,22630.3,302266.88,21/10/2006,18,615,Não,0.0,72670.91115988363,60,Não,0.0,Sim,67038.92
Lunna Lima,Aposentado/Pensionista,3266.08,40993.21,23/05/1960,65,541,Não,4.3,13418.417504423925,12,Não,0.0,Sim,10889.05
Dra. Stella Siqueira,Empresário/Autônomo,23746.17,280208.69,28/09/1979,45,508,Não,10.7,28698.7121664807,48,Não,0.0,Sim,21868.42
Theo Silva,Funcionário de Empresa Privada,10427.59,143188.8,10/03/2001,24,482,Não,6.0,831.4454305649901,24,Sim,106694.89081792091,Não,0.0
Mateus Ferreira,Empresário/Autônomo,32232.59,447124.38,03/06/1962,63,640,Não,28.5,81377.29287978339,18,Não,0.0,Sim,78122.2
Sr. Pedro Barbosa,Estudante,2421.07,32614.47,04/05/1968,57,387,Não,1.9,12078.963088913933,48,Não,0.0,Não,0.0
Diego Guerra,Aposentado/Pensionista,2876.03,34405.9,23/08/1999,25,336,Sim,7.0,1851.8054185776002,36,Não,0.0,Não,0.0
Mateus Cirino,Empresário/Autônomo,18819.95,236398.16,13/10/1964,60,668,Não,31.0,60412.56917530519,6,Sim,112972.74167997889,Não,0.0
Luiza Brito,Profissional Liberal,7291.02,85765.3,28/06/1983,41,619,Não,23.0,17792.442521137356,48,Sim,55804.42522111581,Não,0.0
Caio Teixeira,Funcionário Público,14963.5,194785.49,30/06/1986,38,508,Não,14.1,72459.94670556598,24,Não,0.0,Sim,55214.48
Léo Rocha,Funcionário Público,9292.45,114708.87,03/12/1994,30,503,Sim,5.5,45142.2630301993,12,Não,0.0,Sim,34059.84
Pietra Alves,Desempregado,429.91,5994.51,31/08/1991,33,293,Sim,15.0,2598.6718297486927,48,Sim,2629.7216872180807,Não,0.0
Catarina Freitas,Funcionário Público,14418.11,170487.59,25/05/1958,67,568,Não,30.2,26402.77197447008,36,Não,0.0,Sim,22495.16
Igor Gomes,Funcionário de Empresa Privada,7972.79,91957.28,22/02/1973,52,639,Não,34.0,29818.406811143966,6,Sim,6926.350086757901,Sim,28580.94
Maria Laura Oliveira,Funcionário Público,7589.0,96178.39,13/01/1977,48,455,Não,10.5,29163.491675861616,12,Não,0.0,Não,0.0
Lucca Novaes,Funcionário Público,7943.76,97613.76,19/10/1997,27,537,Não,2.3,29567.678038676637,6,Sim,60176.05399640899,Não,0.0
Kaique Cavalcanti,Aposentado/Pensionista,8344.11,106911.17,16/11/1946,78,403,Não,27.0,15174.267336945668,60,Não,0.0,Não,0.0
Arthur Gabriel Fernandes,Funcionário de Empresa Privada,3354.46,41292.86,06/06/1984,40,275,Sim,22.0,2505.4216585544323,24,Não,0.0,Não,0.0
Laís Abreu,Funcionário de Empresa Privada,2445.76,33821.37,26/05/2000,25,629,Não,7.0,14047.916288598733,36,Não,0.0,Sim,13254.21
Murilo Costela,Funcionário de Empresa Privada,2982.19,38516.05,10/12/2006,18,504,Sim,0.0,17668.38367165005,6,Não,0.0,Sim,13357.3
Julia Gonçalves,Estudante,206.7,2636.83,07/07/1983,41,290,Sim,9.3,531.7725741739423,24,Sim,1551.075402006683,Não,0.0
Dr. André Mendonça,Funcionário de Empresa Privada,10826.52,129369.62,02/04/1963,62,557,Sim,14.1,21756.45011938859,6,Sim,45001.471494034806,Não,0.0
Sara Marques,Empresário/Autônomo,18477.01,213652.89,06/07/1968,56,443,Não,4.0,13926.591568517602,18,Não,0.0,Não,0.0
Mathias Melo,Profissional Liberal,28648.76,342085.34,05/04/1966,59,416,Não,12.5,92178.50992982439,6,Sim,22190.267800239686,Não,0.0
Eloah Moura,Funcionário Público,5695.81,69112.02,04/03/1995,30,411,Não,12.0,24354.424181296567,18,Não,0.0,Não,0.0
Ravi Gomes,Empresário/Autônomo,28128.99,373466.75,15/09/1961,63,495,Não,15.5,8630.79246327168,6,Sim,125714.64769054964,Não,0.0
José Miguel Almeida,Estudante,165.3,2018.57,08/02/2005,20,438,Não,2.0,509.60466844302437,36,Não,0.0,Não,0.0
Allana Duarte,Empresário/Autônomo,46552.4,575118.15,11/06/1958,66,738,Não,10.2,91152.87690339095,12,Sim,63212.92685520563,Sim,91152.88
Maitê Pinto,Funcionário Público,10066.93,127051.83,12/07/1958,66,622,Não,32.9,61547.25968497455,12,Não,0.0,Sim,57423.59
Dr. Henry Gabriel Dias,Funcionário de Empresa Privada,7000.01,80898.42,09/04/1995,30,587,Não,12.0,1250.9824988673095,18,Não,0.0,Sim,1101.49
Olivia Casa Grande,Funcionário Público,8183.56,95688.87,24/04/2004,21,558,Não,3.0,4100.069964657427,12,Sim,51453.65847175675,Não,0.0
Liam Caldeira,Desempregado,601.05,7253.63,10/10/2006,18,379,Não,0.0,897.6445561950815,48,Não,0.0,Não,0.0
Lucas Gabriel Mendonça,Funcionário de Empresa Privada,12437.75,147510.74,01/12/1988,36,503,Sim,18.0,64492.99375016022,12,Sim,76296.60704270411,Não,0.0
Henry Gabriel Moraes,Aposentado/Pensionista,2926.75,34012.25,09/05/1976,49,575,Não,8.2,15820.575388767704,48,Não,0.0,Sim,13645.25
Yan Ferreira,Funcionário de Empresa Privada,8183.31,110178.73,28/04/1983,42,498,Não,17.8,25459.612750634664,6,Não,0.0,Não,0.0
Lara Nascimento,Empresário/Autônomo,29067.88,346846.99,23/02/1976,49,529,Sim,29.3,23882.108905851313,24,Sim,149562.53359224615,Não,0.0
Catarina Farias,Funcionário de Empresa Privada,6473.07,90122.66,18/05/1967,58,535,Não,6.2,31792.136517192423,6,Não,0.0,Sim,25513.19
Dr. Henry Gabriel Pires,Aposentado/Pensionista,10521.98,136627.51,12/09/1952,72,649,Não,27.2,36801.31382613951,36,Não,0.0,Sim,35826.08
Ana Luiza da Costa,Funcionário Público,10470.26,136677.6,19/10/1950,74,723,Não,14.6,37262.88159276256,60,Não,0.0,Sim,37262.88
Nicole Vasconcelos,Aposentado/Pensionista,7454.46,92799.68,08/10/1985,39,728,Não,11.8,27536.41743413309,36,Não,0.0,Sim,27536.42
Vitor Cardoso,Profissional Liberal,5633.24,70169.54,01/11/1960,64,748,Não,8.2,3077.7141042177536,6,Sim,10267.005707779452,Sim,3077.71
Sr. Vinicius Pires,Funcionário de Empresa Privada,12159.38,145875.55,08/01/1957,68,452,Não,38.7,60652.268052411135,60,Não,0.0,Não,0.0
Erick Campos,Aposentado/Pensionista,4133.12,52845.53,29/08/1962,62,609,Não,11.3,9618.327964035238,12,Não,0.0,Sim,8786.34
Gabriel Caldeira,Funcionário de Empresa Privada,4864.19,63917.98,21/07/2000,24,476,Não,6.0,23554.400460256238,36,Sim,1889.7433906678289,Não,0.0
Luiz Henrique Rodrigues,Empresário/Autônomo,21975.36,298792.9,12/08/1982,42,718,Não,24.0,5040.83153308207,6,Sim,83560.46433327992,Não,0.0
Ana Julia Silveira,Funcionário de Empresa Privada,18627.67,250356.18,19/08/1951,73,739,Não,21.0,99844.88246956425,48,Sim,12228.242394861221,Sim,99844.88
Eduardo das Neves,Funcionário Público,14338.28,190604.27,19/07/1966,58,832,Não,21.2,81758.674812856,48,Não,0.0,Sim,81758.67
Alexia Porto,Empresário/Autônomo,9614.91,133710.49,07/12/1988,36,398,Não,6.9,61700.82035851736,6,Sim,37110.014449998656,Não,0.0
Dr. Matheus Monteiro,Profissional Liberal,6454.62,86465.35,05/11/1976,48,482,Não,2.0,2011.5163299249339,36,Sim,11972.131129855865,Não,0.0
Raul Casa Grande,Funcionário Público,10323.6,129169.68,22/10/1966,58,699,Não,11.3,15390.612755184718,36,Não,0.0,Sim,15390.61
Stephany Araújo,Funcionário Público,16688.13,197575.64,28/01/1972,53,742,Não,20.4,74170.77322022636,24,Não,0.0,Sim,74170.77
Maria Vitória Rios,Funcionário de Empresa Privada,17402.07,203952.04,24/09/1963,61,565,Não,19.4,2653.525911712218,36,Não,0.0,Sim,2248.86
Cecilia Dias,Funcionário de Empresa Privada,4126.76,55660.98,01/11/1961,63,529,Não,9.7,17152.24640234818,12,Não,0.0,Sim,13610.31
Raquel Pires,Empresário/Autônomo,23684.15,301544.01,05/02/1991,34,589,Sim,16.0,81089.13911013288,24,Não,0.0,Sim,71642.25
José Moreira,Funcionário Público,2799.86,38533.3,01/08/1990,34,405,Não,16.0,8491.45080716218,18,Não,0.0,Não,0.0
Camila Barbosa,Aposentado/Pensionista,13640.6,180819.33,27/11/1958,66,426,Sim,22.3,31890.750021137865,6,Não,0.0,Não,0.0
Luiz Henrique Ramos,Empresário/Autônomo,35390.5,457392.53,16/03/1979,46,680,Não,25.9,40378.79111652323,18,Não,0.0,Sim,40378.79
Júlia Barbosa,Empresário/Autônomo,7711.59,99176.1,10/08/2001,23,454,Não,5.0,21104.705732608938,48,Sim,2009.2201055092032,Não,0.0
Augusto Cavalcanti,Funcionário de Empresa Privada,9945.73,132669.78,23/10/1963,61,632,Não,28.0,22425.418760679033,60,Sim,9806.825104692005,Sim,21259.3
Maria Liz Cassiano,Empresário/Autônomo,11200.58,129849.29,17/06/1968,56,553,Não,18.5,2021.017573914702,48,Não,0.0,Sim,1676.43
Vitória Albuquerque,Funcionário Público,12298.04,167808.04,25/03/1978,47,519,Sim,29.0,28334.766878447666,12,Sim,94628.00264946315,Não,0.0
Ana Luiza Barbosa,Funcionário de Empresa Privada,11775.24,155402.12,11/10/1957,67,542,Não,6.0,50437.81848922914,18,Não,0.0,Sim,41005.95
Ana Carolina Melo,Funcionário Público,11596.25,160978.44,05/03/1962,63,802,Não,8.8,4121.234136927134,60,Não,0.0,Sim,4121.23
Nina Araújo,Desempregado,170.96,2176.87,28/03/2005,20,501,Não,2.0,857.1521795549944,18,Sim,1603.1642599823847,Não,0.0
Pietro Cunha,Funcionário de Empresa Privada,7713.43,94510.41,09/08/1972,52,773,Não,14.7,13353.768357671086,60,Sim,38370.3429495794,Não,0.0
Emanuelly Brito,Funcionário de Empresa Privada,2245.19,30422.0,12/12/1976,48,609,Sim,21.3,12888.603861632819,12,Não,0.0,Sim,11773.74
Dr. Mateus Pires,Funcionário de Empresa Privada,8546.96,101113.84,01/06/1961,64,591,Sim,29.4,36002.96245934825,24,Não,0.0,Sim,31916.63
Davi Lucca Alves,Empresário/Autônomo,30351.32,394718.98,24/06/1968,56,543,Não,8.1,85117.71443117499,6,Não,0.0,Sim,69328.38
Sr. João Moura,Funcionário de Empresa Privada,3227.11,37586.2,06/07/1988,36,631,Não,9.8,18440.124900252107,18,Não,0.0,Sim,17453.58
Sra. Bella Pinto,Empresário/Autônomo,19664.28,238998.39,04/06/1990,34,699,Não,16.0,26598.01242739257,24,Não,0.0,Sim,26598.01
Ravy Aragão,Aposentado/Pensionista,6479.93,84588.18,04/06/1994,30,637,Sim,5.9,31928.76250393232,48,Não,0.0,Sim,30507.93
Olivia Nogueira,Profissional Liberal,22622.2,285195.36,08/08/1988,36,668,Não,17.4,40996.339589258816,48,Sim,88217.70026393613,Não,0.0
Enrico da Cruz,Profissional Liberal,26927.02,355470.49,04/11/1960,64,558,Não,1.5,52375.120138683844,12,Não,0.0,Sim,43837.98
Ana Vitória da Luz,Estudante,1315.17,16854.26,04/11/2001,23,418,Não,5.0,3917.895445352188,36,Não,0.0,Não,0.0
Carlos Eduardo Lima,Funcionário de Empresa Privada,9858.24,122226.5,20/02/1956,69,503,Não,0.1,49425.805330979114,48,Não,0.0,Sim,37291.77
Agatha Fonseca,Estudante,127.75,1717.99,01/07/2003,21,637,Não,3.0,548.163684081111,6,Não,0.0,Sim,523.77
Maria Clara Jesus,Funcionário Público,10823.41,128975.87,20/02/1994,31,541,Não,13.0,17465.363287924243,6,Sim,45969.91557406211,Não,0.0
Maria Liz Oliveira,Estudante,800.0,10709.34,05/04/1980,45,563,Não,8.7,3961.20371849232,6,Sim,3480.9723307728123,Não,0.0
Dr. Miguel Garcia,Funcionário de Empresa Privada,7713.28,93964.5,15/05/1974,51,520,Não,4.6,17510.224975182846,6,Não,0.0,Sim,13657.98
Alícia da Mota,Funcionário de Empresa Privada,2585.8,33721.32,17/08/1985,39,395,Não,11.2,5718.377200543792,48,Não,0.0,Não,0.0
Alice Albuquerque,Profissional Liberal,19932.71,253165.65,03/04/1982,43,507,Não,25.0,2473.294695398483,6,Sim,97794.12485793496,Não,0.0
Evelyn Siqueira,Funcionário Público,7329.86,89658.4,04/11/1960,64,533,Sim,0.3,32391.187053548092,48,Sim,9623.652671016722,Sim,25896.75
Cauê Alves,Funcionário de Empresa Privada,3504.1,45845.88,23/06/1964,60,658,Não,30.8,15328.647676162895,36,Não,0.0,Sim,15129.38
Kevin Cardoso,Funcionário de Empresa Privada,16137.8,205715.27,22/05/1961,64,615,Não,0.6,55142.050674519225,12,Não,0.0,Sim,50868.54
Dante Fernandes,Funcionário de Empresa Privada,8299.24,97233.25,10/05/1967,58,520,Não,5.3,24749.709308266134,24,Não,0.0,Sim,19304.77
Emanuel Cavalcanti,Empresário/Autônomo,15111.01,190754.02,27/09/1995,29,438,Não,11.0,55650.36640570985,12,Não,0.0,Não,0.0
Marina Sales,Funcionário Público,7648.15,97383.79,05/09/1949,75,594,Não,34.4,19625.839392553622,48,Sim,66736.99641522985,Não,0.0
Alexandre Cavalcante,Funcionário de Empresa Privada,9146.28,113662.34,10/11/1990,34,719,Não,1.0,31989.144155673635,6,Não,0.0,Sim,31989.14
Henry Martins,Empresário/Autônomo,12936.51,150641.27,04/07/2002,22,254,Sim,4.0,65552.82006064718,18,Sim,64499.553180409755,Não,0.0
Gabriela Mendonça,Estudante,686.2,7919.24,14/03/1980,45,625,Não,27.0,1007.917573015252,60,Não,0.0,Sim,944.92
Enzo Pacheco,Funcionário de Empresa Privada,3107.18,38172.85,17/05/1980,45,403,Não,19.2,18656.95437496478,6,Não,0.0,Não,0.0
Maria Júlia Barros,Empresário/Autônomo,16965.24,208385.78,05/02/1961,64,484,Sim,7.7,55744.80943749799,6,Não,0.0,Não,0.0
Kaique Albuquerque,Aposentado/Pensionista,6881.07,84969.62,01/02/2002,23,219,Sim,5.0,16171.679962225826,60,Não,0.0,Não,0.0
Sabrina Cirino,Funcionário Público,14929.63,172926.18,06/12/1987,37,770,Não,19.0,12758.627169357842,36,Não,0.0,Sim,12758.63
Thales Fonseca,Funcionário Público,20772.36,277288.89,18/11/1951,73,400,Não,34.9,48323.390136697526,6,Não,0.0,Não,0.0
Matteo Novais,Aposentado/Pensionista,4326.68,53289.64,06/03/1970,55,686,Não,17.5,3068.2044551960853,6,Não,0.0,Sim,3068.2
Maria Luísa Cirino,Funcionário de Empresa Privada,1276.78,17694.21,26/02/1992,33,647,Não,15.0,6127.687046230102,60,Sim,6240.563092709052,Não,0.0
Augusto Duarte,Funcionário de Empresa Privada,3037.53,39996.81,25/01/1975,50,392,Não,31.2,3772.022877816692,6,Não,0.0,Não,0.0
Thiago Cirino,Profissional Liberal,16027.66,218615.77,15/06/1950,74,703,Não,2.0,61496.79296756888,48,Não,0.0,Sim,61496.79
Srta. Ágatha Pastor,Profissional Liberal,41417.06,537860.19,08/07/1955,69,466,Não,16.3,35368.38688507596,6,Não,0.0,Não,0.0
Sr. João Guilherme Viana,Funcionário Público,12766.71,154302.17,30/11/2000,24,465,Não,6.0,56471.25922585057,6,Sim,101909.24119577132,Não,0.0
Josué da Conceição,Empresário/Autônomo,5153.61,65977.83,23/07/1984,40,564,Sim,22.0,27311.15012483666,60,Não,0.0,Sim,23105.23
Marina Carvalho,Funcionário de Empresa Privada,2487.51,31615.06,18/01/2003,22,525,Não,4.0,10588.270418585913,24,Não,0.0,Sim,8338.26
Vinicius das Neves,Empresário/Autônomo,39432.22,545240.27,15/05/1973,52,782,Não,29.5,93862.78766108159,48,Não,0.0,Sim,93862.79
Anthony Leão,Funcionário Público,7821.3,107646.12,16/04/1973,52,422,Não,9.6,20923.48909702341,12,Não,0.0,Não,0.0
Kevin Teixeira,Funcionário de Empresa Privada,12513.67,171880.81,31/03/1957,68,592,Não,7.0,5660.537537839716,18,Não,0.0,Sim,5026.56
Allana Mendes,Empresário/Autônomo,37340.07,514785.49,11/07/1979,45,539,Não,27.0,24144.201923126428,18,Não,0.0,Sim,19520.59
Thales Câmara,Aposentado/Pensionista,4945.28,66420.64,01/01/1973,52,493,Não,3.1,8088.194353220182,12,Não,0.0,Não,0.0
Sophie Montenegro,Funcionário de Empresa Privada,6402.58,83340.53,17/04/1997,28,581,Não,10.0,4968.376356325128,18,Não,0.0,Sim,4329.94
Alana Vieira,Empresário/Autônomo,8221.14,113364.32,12/05/1965,60,756,Não,19.1,18223.904096613325,48,Não,0.0,Sim,18223.9
Emanuelly Cassiano,Funcionário de Empresa Privada,15147.34,174393.65,26/07/1975,49,724,Não,16.2,64444.842513469026,24,Não,0.0,Sim,64444.84
Gabriela Carvalho,Estudante,634.2,8132.69,20/05/1994,31,571,Não,13.0,1639.0565145481903,6,Sim,2902.746803668146,Não,0.0
